node,latency_ms,deadline_ms
sensor,0.11779999476857483,100.0
sensor,0.06900000153109431,100.0
sensor,0.05370000144466758,100.0
sensor,0.07139999070204794,100.0
sensor,0.07189999450929463,100.0
sensor,0.07479998748749495,100.0
sensor,0.08329999400302768,100.0
sensor,0.0686999992467463,100.0
sensor,0.08229998638853431,100.0
sensor,0.1221999991685152,100.0
sensor,0.06629998097196221,100.0
sensor,0.08929998148232698,100.0
sensor,0.0881000014487654,100.0
sensor,0.1252999936696142,100.0
sensor,0.051300012273713946,100.0
sensor,0.04859999171458185,100.0
sensor,0.07259999983943999,100.0
sensor,0.04780001472681761,100.0
sensor,0.06310001481324434,100.0
sensor,0.0557999883312732,100.0
sensor,0.06890000076964498,100.0
sensor,0.07169999298639596,100.0
sensor,0.0678999931551516,100.0
sensor,0.04800001624971628,100.0
sensor,0.06990000838413835,100.0
sensor,0.06949997623451054,100.0
sensor,0.07529999129474163,100.0
sensor,0.08789999992586672,100.0
sensor,0.05949998740106821,100.0
sensor,0.050499977078288794,100.0
sensor,0.07520001963712275,100.0
sensor,0.24950000806711614,100.0
sensor,0.05269999383017421,100.0
sensor,0.046999979531392455,100.0
sensor,0.06970000686123967,100.0
sensor,0.05189998773857951,100.0
sensor,0.12349997996352613,100.0
sensor,0.06489999941550195,100.0
sensor,0.08259998867288232,100.0
sensor,0.04700000863522291,100.0
sensor,0.1343000039923936,100.0
sensor,0.0610999995842576,100.0
sensor,0.11930000619031489,100.0
sensor,0.08399999933317304,100.0
sensor,0.047900015488266945,100.0
sensor,0.06520000169984996,100.0
sensor,0.063000014051795,100.0
sensor,0.07179999374784529,100.0
sensor,0.06749999010935426,100.0
sensor,0.05529998452402651,100.0
sensor,0.06579997716471553,100.0
sensor,0.07070001447573304,100.0
sensor,0.0847000046633184,100.0
sensor,0.07100001676008105,100.0
sensor,0.3048000216949731,100.0
sensor,0.05390000296756625,100.0
sensor,0.0667999847792089,100.0
sensor,0.07119998917914927,100.0
sensor,0.09560000034980476,100.0
sensor,0.05050000618211925,100.0
sensor,0.09029998909682035,100.0
sensor,0.06049999501556158,100.0
sensor,0.08550001075491309,100.0
sensor,0.059699988923966885,100.0
sensor,0.07330000516958535,100.0
sensor,0.049700000090524554,100.0
sensor,0.049299997044727206,100.0
sensor,0.26989998877979815,100.0
sensor,0.07819998427294195,100.0
sensor,0.05549998604692519,100.0
sensor,0.3294000052846968,100.0
sensor,0.07609999738633633,100.0
sensor,0.08680002065375447,100.0
sensor,0.1404999929945916,100.0
sensor,0.08070000330917537,100.0
sensor,0.059900019550696015,100.0
sensor,0.058999983593821526,100.0
sensor,0.09849999332800508,100.0
sensor,0.05780000356025994,100.0
sensor,0.06389999180100858,100.0
sensor,0.08600001456215978,100.0
sensor,0.12260000221431255,100.0
sensor,0.0754999928176403,100.0
sensor,0.1162000116892159,100.0
sensor,0.09769998723641038,100.0
sensor,0.1275000104214996,100.0
sensor,0.09049999061971903,100.0
sensor,0.1162000116892159,100.0
sensor,0.10269999620504677,100.0
sensor,0.06809999467805028,100.0
sensor,0.08639998850412667,100.0
sensor,0.04509999416768551,100.0
sensor,0.06469999789260328,100.0
sensor,0.09039998985826969,100.0
sensor,0.12549999519251287,100.0
sensor,0.07110001752153039,100.0
sensor,0.07589999586343765,100.0
sensor,0.06739998934790492,100.0
sensor,0.11500000255182385,100.0
sensor,0.04529999569058418,100.0
sensor,0.04709998029284179,100.0
sensor,0.06900000153109431,100.0
sensor,0.07270000060088933,100.0
sensor,0.07340000593103468,100.0
sensor,0.08630001684650779,100.0
sensor,0.06369999027810991,100.0
sensor,0.07109998841769993,100.0
sensor,0.08939998224377632,100.0
sensor,0.07550002192147076,100.0
sensor,0.07989999721758068,100.0
sensor,0.07719997665844858,100.0
sensor,0.0816000101622194,100.0
sensor,0.05699999746866524,100.0
sensor,0.07109998841769993,100.0
sensor,0.391999987186864,100.0
sensor,0.0957000011112541,100.0
sensor,0.11319998884573579,100.0
sensor,0.06639998173341155,100.0
sensor,0.09380001574754715,100.0
sensor,0.14099999680183828,100.0
sensor,0.10789997759275138,100.0
sensor,0.04849999095313251,100.0
sensor,0.08600001456215978,100.0
sensor,0.11779999476857483,100.0
sensor,0.08110000635497272,100.0
sensor,0.12289997539483011,100.0
sensor,0.08629998774267733,100.0
sensor,0.04610000178217888,100.0
sensor,0.07850001566112041,100.0
sensor,0.10260002454742789,100.0
sensor,0.10740000288933516,100.0
sensor,0.09629997657611966,100.0
sensor,0.09280000813305378,100.0
sensor,0.09270000737160444,100.0
sensor,0.05129998316988349,100.0
sensor,0.06659998325631022,100.0
sensor,0.1595000212546438,100.0
sensor,0.061400001868605614,100.0
sensor,0.05400000372901559,100.0
sensor,0.054800009820610285,100.0
sensor,0.07979999645613134,100.0
sensor,0.09560000034980476,100.0
sensor,0.0788999896030873,100.0
sensor,0.08359999628737569,100.0
sensor,0.08070000330917537,100.0
sensor,0.05189998773857951,100.0
sensor,0.07319997530430555,100.0
sensor,0.10209999163635075,100.0
sensor,0.0751999905332923,100.0
sensor,0.07730000652372837,100.0
sensor,0.07829998503439128,100.0
sensor,0.07450001430697739,100.0
sensor,0.07189999450929463,100.0
sensor,0.35349998506717384,100.0
sensor,0.0824000162538141,100.0
sensor,0.07479998748749495,100.0
